X	Y
943	1071
488	1088
1439	1030
609	1019
197	1038
1280	961
1838	967
807	1012
1692	892
1391	888
1859	828
266	837
1610	818
1173	771
1717	737
1008	722
1467	676
1071	640
1838	606
486	637
1302	570
1543	515
1404	514
607	485
1769	488
405	442
86	471
1099	403
1196	432
1555	402
1841	369
618	369
301	313
243	178
419	132
86	75
698	69
458	29
858	1076
1453	1016
1806	957
183	1069
1257	955
1668	840
72	860
458	844
1154	762
1600	746
592	776
1465	645
514	606
1887	726
1855	624
1322	581
1769	641
1028	648
597	497
1554	474
99	543
1111	449
1841	414
319	319
799	210
169	136
60	107
471	152
1875	116
752	1035
1415	805
1448	383
1549	273
1855	252
735	367
895	1121
132	1129
1891	1118
1416	1035
1235	944
1623	1039
1775	963
27	1017
1650	833
55	932
533	826
1134	765
701	763
1847	681
536	597
1533	703
1424	615
1290	587
72	573
323	596
1767	549
1606	499
1031	528
600	457
1139	492
1829	483
304	410
1843	437
261	329
448	165
105	125
715	129
1031	575
